name,brand,qualifier_data,qualifier_type,locality,street_name,distance,url,address_detail,geographic_county,postcode,administrative_boundary,telephone_number,feature_easting,feature_northing,pointx_classification_code,unique_reference_number,group_code,category_code,pointx_class_code,group,category,pointx_class
Bus Stop (Holloway Street),,dvndmjmj,SMS Number,,,3.1,,,Devon,EX2,Exeter District,,292270.0,92121.0,10590732,21841328,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (South Street),,dvndmgtp,SMS Number,,,2.4,,,Devon,EX1,Exeter District,,291950.0,92514.0,10590732,21841331,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Emmanuel Church),,dvndmawg,SMS Number,,,1.7,,,Devon,EX4,Exeter District,,291182.0,92251.0,10590732,21841201,10,59,0732,Transport,Bus transport,Bus stops
Bus Station,,dvndmjwj,SMS Number,,,27.8,,,Devon,EX1,Exeter District,,292475.0,92869.0,10590732,21842693,10,59,0732,Transport,Bus transport,Bus stops
Bus Station,,dvndmjwm,SMS Number,,,27.0,,,Devon,EX1,Exeter District,,292477.0,92872.0,10590732,21842694,10,59,0732,Transport,Bus transport,Bus stops
Chapel,,Not Identified (Christian),Religion,,,7.7,,,Devon,EX2,Exeter District,,292277.0,92162.0,6340459,20135353,06,34,0459,Public infrastructure,Infrastructure and facilities,Places of worship
Statue,,,,,,50.3,,,Devon,EX4,Exeter District,,291940.0,92943.0,3170245,18793144,03,17,0245,Attractions,Historical and cultural,Historic and ceremonial structures
Statue,,,,,,63.7,,,Devon,EX4,Exeter District,,292071.0,92966.0,3170245,18793146,03,17,0245,Attractions,Historical and cultural,Historic and ceremonial structures
Clock Tower Surgery,,,,Exeter,King William Street,20.0,,Wat Tyler House,Devon,EX4 6PD,Exeter District,1392208290.0,292406.0,93080.0,5280369,16438689,05,28,0369,Education and health,Health practitioners and establishments,Doctors surgeries
Lloyds Pharmacy,Lloyds Pharmacy,,,Exeter,Guildhall Shopping Centre,148.0,www.lloydspharmacy.com,26-28,Devon,EX4 3HH,Exeter District,1392431801.0,291861.8,92674.0,5280364,16448536,05,28,0364,Education and health,Health practitioners and establishments,Chemists and pharmacies
Dr Leger & Partners,,,,Exeter,Barnfield Road,18.4,,30,Devon,EX1 1RX,Exeter District,1392211266.0,292550.9,92550.7,5280369,16454296,05,28,0369,Education and health,Health practitioners and establishments,Doctors surgeries
St Leonards Pharmacy,,,,Exeter,Athelstan Road,16.2,,,Devon,EX1 1SB,Exeter District,1392422444.0,292628.1,92605.6,5280364,47497463,05,28,0364,Education and health,Health practitioners and establishments,Chemists and pharmacies
Exeter (City) NHS Walk-in Centre,,,,Exeter,Sidwell Street,20.1,,31d,Devon,EX4 6NN,Exeter District,1392276892.0,292448.1,93005.0,5280812,31191538,05,28,0812,Education and health,Health practitioners and establishments,Walk-in centres
Bus Stop (College),,dvndmdmw,SMS Number,,,3.4,,,Devon,EX4,Exeter District,,291534.0,93150.0,10590732,22109866,10,59,0732,Transport,Bus transport,Bus stops
Exeter Advanced Dentistry,,,,Exeter,Longbrook Street,19.9,,54,Devon,EX4 6AH,Exeter District,1392202007.0,292334.0,93031.0,5280368,143165361,05,28,0368,Education and health,Health practitioners and establishments,Dental surgeries
The Laurels,,,,Exeter,Dix's Field,12.2,,11-15,Devon,EX1 1QA,Exeter District,1392677077.0,292497.0,92703.0,2100167,110595748,02,10,0167,Commercial services,"Personal, consumer and other services","Headquarters, administration and central"
Bus Stop (Cheeke Street),,dvngtgtj,SMS Number,,,4.9,,,Devon,EX1,Exeter District,,292564.0,92961.0,10590732,134439858,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (York Road),,dvngtgpm,SMS Number,,,1.9,,,Devon,EX4,Exeter District,,292583.0,93122.0,10590732,134440124,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Paris Street),,dvngtgtw,SMS Number,,,2.0,,,Devon,EX1,Exeter District,,292504.0,92822.0,10590732,134440125,10,59,0732,Transport,Bus transport,Bus stops
Bus Stop (Mercure Hotel),,dvngtwpt,SMS Number,,,12.5,,,Devon,EX1,Exeter District,,292256.0,92400.0,10590732,165865874,10,59,0732,Transport,Bus transport,Bus stops
Wi-Fi Hotspot (O2 Limited),,,,Exeter,Bedford Street,38.6,,9,Devon,EX1 1GG,Exeter District,,292254.0,92690.0,6340802,105352283,06,34,0802,Public infrastructure,Infrastructure and facilities,Wi-Fi hotspots
Wi-Fi Hotspot (BT Openzone),,,,Exeter,High Street,29.5,,211-219,Devon,EX4 3QA,Exeter District,,292013.0,92696.0,6340802,153507721,06,34,0802,Public infrastructure,Infrastructure and facilities,Wi-Fi hotspots
Wi-Fi Hotspot (The Cloud),,,,Exeter,Queen Street,12.4,,89-90,Devon,EX4,Exeter District,,291997.0,92762.0,6340802,163658782,06,34,0802,Public infrastructure,Infrastructure and facilities,Wi-Fi hotspots
Globe Backpackers,,,,Exeter,Holloway Street,15.9,www.exeterbackpackers.co.uk,71,Devon,EX2 4JD,Exeter District,1392215521.0,292202.0,92174.0,1010009,47952288,01,01,0009,"Accommodation, eating and drinking",Accommodation,Youth accommodation
Mercure Exeter Southgate Hotel,Mercure,,,Exeter,Southernhay East,34.5,www.mercure.com/gb/united-kingdom/index.shtml,,Devon,EX1 1QF,Exeter District,1392412812.0,292183.4,92309.7,1010006,47955551,01,01,0006,"Accommodation, eating and drinking",Accommodation,"Hotels, motels, country houses and inns"
Coffee Cup,,,,Exeter,St. Thomas Centre,39.5,,12,Devon,EX4 1DG,Exeter District,1392438681.0,291368.0,92027.0,1020013,47970888,01,02,0013,"Accommodation, eating and drinking",Eating and drinking,"Cafes, snack bars and tea rooms"
Rosticerria Italia Ltd,,Italian Restaurant,Restaurant Type,Exeter,Barnfield Road,22.6,,The Forum,Devon,EX1 1QR,Exeter District,1392432299.0,292459.0,92548.0,1020043,47970704,01,02,0043,"Accommodation, eating and drinking",Eating and drinking,Restaurants
Exebridge Cafe,,,,Exeter,Cowick Street,15.9,,180,Devon,EX4 1AA,Exeter District,1392203183.0,291492.0,92054.0,1020013,47976380,01,02,0013,"Accommodation, eating and drinking",Eating and drinking,"Cafes, snack bars and tea rooms"
Bella Italia,Bella Italia,Italian Restaurant,Restaurant Type,Exeter,Queen Street,14.7,www.bellaitalia.co.uk,92,Devon,EX4 3RP,Exeter District,1392211778.0,292007.6,92752.8,1020043,47984370,01,02,0043,"Accommodation, eating and drinking",Eating and drinking,Restaurants
Harry's Restaurant,,Restaurant,Restaurant Type,Exeter,Longbrook Street,14.9,www.harrys-exeter.co.uk,86,Devon,EX4 6AP,Exeter District,1392202234.0,292370.0,93167.0,1020043,47985802,01,02,0043,"Accommodation, eating and drinking",Eating and drinking,Restaurants
Howell Road,,,,Exeter,,59.5,,Howell Road,Devon,EX4 4LZ,Exeter District,,292215.0,93158.0,10540736,41263540,10,54,0736,Transport,Road and rail,Parking
Mary Arches Street,,,,Exeter,,24.8,,Mary Arches Street,Devon,EX4 3AZ,Exeter District,,291769.0,92576.0,10540736,41263543,10,54,0736,Transport,Road and rail,Parking
Bampfylde Street,,,,Exeter,,24.3,,Bampfylde Street,Devon,EX1 2AR,Exeter District,,292478.0,92944.0,10540736,41263552,10,54,0736,Transport,Road and rail,Parking
Harlequins Shopping Centre,,,,Exeter,,26.7,,Paul Street,Devon,EX4,Exeter District,,291828.0,92741.0,10540736,41263537,10,54,0736,Transport,Road and rail,Parking
Stover Court,,,,Exeter,,19.9,,Bampfylde Street,Devon,EX1 2DD,Exeter District,,292579.0,93033.0,10540736,45456466,10,54,0736,Transport,Road and rail,Parking
Wi-Fi Hotspot (The Cloud),,,,Exeter,Cowick Street,34.2,,172,Devon,EX4 1AA,Exeter District,,291422.7,92023.3,6340802,104154737,06,34,0802,Public infrastructure,Infrastructure and facilities,Wi-Fi hotspots
Wi-Fi Hotspot (O2 Limited),,,,Exeter,High Street,30.0,,190,Devon,EX4 3DU,Exeter District,,291909.0,92602.0,6340802,105352934,06,34,0802,Public infrastructure,Infrastructure and facilities,Wi-Fi hotspots
Mega Kebab House,,,,Exeter,Sidwell Street,13.7,,133,Devon,EX4 6RY,Exeter District,1392221466.0,292616.0,93108.0,1020018,48005024,01,02,0018,"Accommodation, eating and drinking",Eating and drinking,Fast food and takeaway outlets
Pizza Express,Pizza Express,Pizza Restaurant,Restaurant Type,Exeter,Cathedral Yard,16.0,www.pizzaexpress.com,2 Broadgate,Devon,EX1 1HF,Exeter District,1392495788.0,291978.8,92600.3,1020043,48032179,01,02,0043,"Accommodation, eating and drinking",Eating and drinking,Restaurants
Zizzi,Zizzi,Italian Restaurant,Restaurant Type,Exeter,Gandy Street,10.4,www.zizzi.co.uk,21-22,Devon,EX4 3LS,Exeter District,1392920606.0,291997.7,92826.8,1020043,48025170,01,02,0043,"Accommodation, eating and drinking",Eating and drinking,Restaurants
Pizza Hut,Pizza Hut,,,Exeter,Sidwell Street,16.2,www.pizzahut.co.uk,67,Devon,EX4 6PH,Exeter District,1392277666.0,292636.5,93167.7,1020018,48040248,01,02,0018,"Accommodation, eating and drinking",Eating and drinking,Fast food and takeaway outlets
The City Gate Hotel,Young's,,,Exeter,Iron Bridge,16.3,www.citygatehotel.com,1,Devon,EX4 3RB,Exeter District,1392495811.0,291747.0,92686.0,1020034,48047828,01,02,0034,"Accommodation, eating and drinking",Eating and drinking,"Pubs, bars and inns"
Exonian,Stonegate Pubs,,,Exeter,Fore Street,14.1,www.social-squirrel.com/theexonian-exeter,99-101,Devon,EX4 3HY,Exeter District,1752825650.0,291825.3,92432.8,1020034,48044680,01,02,0034,"Accommodation, eating and drinking",Eating and drinking,"Pubs, bars and inns"
K F C Ltd,K F C,,,Exeter,Sidwell Street,20.2,www.kfc.co.uk,65-66,Devon,EX4 6PH,Exeter District,3457532532.0,292624.4,93162.8,1020018,48088066,01,02,0018,"Accommodation, eating and drinking",Eating and drinking,Fast food and takeaway outlets
Al Farid Moroccan Restaurant,,Restaurant,Restaurant Type,Exeter,Cathedral Yard,8.6,www.alfaridrestaurant.co.uk,3,Devon,EX1 1HJ,Exeter District,1392494444.0,291972.0,92534.0,1020043,48085817,01,02,0043,"Accommodation, eating and drinking",Eating and drinking,Restaurants
Goldsmiths,Goldsmiths,,,Exeter,High Street,22.8,www.goldsmiths.co.uk,Unit 3 17-19,Devon,EX4 3LH,Exeter District,1392272776.0,292209.0,92782.0,9460659,48747917,09,46,0659,Retail,Clothing and accessories,Jewellery and fashion accessories
Ascot Jewellers Ltd,,,,Exeter,Cowick Street,14.5,,177,Devon,EX4 1AA,Exeter District,1392256853.0,291478.4,92043.1,9460659,48750967,09,46,0659,Retail,Clothing and accessories,Jewellery and fashion accessories
Shoe Zone,Shoe Zone,,,Exeter,High Street,29.7,www.shoezone.com,200,Devon,EX4 3EB,Exeter District,1392259298.0,291950.0,92642.0,9460657,48757618,09,46,0657,Retail,Clothing and accessories,Footwear
Elizabeth Ann of Exeter,,,,Exeter,Cathedral Close,14.1,,3,Devon,EX1 1EZ,Exeter District,1392252876.0,292112.8,92643.1,9460657,48763264,09,46,0657,Retail,Clothing and accessories,Footwear
Office Shoes,Office,,,Exeter,High Street,25.9,www.office.co.uk,240,Devon,EX4 3NZ,Exeter District,1392495615.0,292146.4,92797.1,9460657,48766058,09,46,0657,Retail,Clothing and accessories,Footwear
Lloyd Maunder Ltd,Lloyd Maunder,,,Exeter,Sidwell Street,19.2,lloydmaunder.co.uk,29,Devon,EX4 6NN,Exeter District,1392270187.0,292423.0,92979.0,9470662,48772478,09,47,0662,Retail,"Food, drink and multi item retail",Butchers
Ann Summers,Ann Summers,,,Exeter,High Street,11.5,www.annsummers.com,198,Devon,EX4 3EB,Exeter District,1392757890.0,291955.0,92622.0,9460660,48783574,09,46,0660,Retail,Clothing and accessories,Lingerie and hosiery
Oggy Oggy Pasty Co Ltd,The Cornish Oggy Oggy Pasty Co Ltd,,,Exeter,Guildhall Shopping Centre,6.4,www.oggyoggyfranchise.com/,16,Devon,EX4 3HW,Exeter District,1392436502.0,291950.2,92789.4,1020013,48783729,01,02,0013,"Accommodation, eating and drinking",Eating and drinking,"Cafes, snack bars and tea rooms"
Market Carpets,,,,Exeter,Market Street,9.1,www.marketcarpets.co.uk,,Devon,EX1 1BW,Exeter District,1392272580.0,291893.0,92442.0,9480675,48808402,09,48,0675,Retail,"Household, office, leisure and garden","Carpets, rugs, soft furnishings and"
Oxfam,Oxfam,,,Exeter,South Street,18.4,www.oxfam.org.uk,97,Devon,EX1 1EN,Exeter District,1392493433.0,291931.0,92505.0,9480714,48964552,09,48,0714,Retail,"Household, office, leisure and garden",Charity shops
Ryman,Ryman,,,Exeter,Fore Street,22.9,www.ryman.co.uk,176,Devon,EX4 3AX,Exeter District,1392498818.0,291854.6,92525.5,9480725,48989788,09,48,0725,Retail,"Household, office, leisure and garden",Stationery and office supplies
Sweat & Stretch Fitness Centre,,,,Exeter,Paris Street,17.5,,Devon House,Devon,EX1 2JB,Exeter District,1392433656.0,292358.0,92857.0,4240293,49734215,04,24,0293,Sport and entertainment,Sports complex,"Gymnasiums, sports halls and leisure centres "
Mansons Guitar Shop,,,,Exeter,Fore Street,30.2,www.mansons.co.uk,14 McCoys Arcade,Devon,EX4 3AN,Exeter District,1392496379.0,291707.6,92359.2,9480690,48862997,09,48,0690,Retail,"Household, office, leisure and garden",Musical instruments
Music Room,Music Room,,,Exeter,Sidwell Street,20.1,www.musicroom.com,154,Devon,EX4 6RT,Exeter District,1392436258.0,292537.0,93031.0,9480690,48862483,09,48,0690,Retail,"Household, office, leisure and garden",Musical instruments
Skipton Building Society,Skipton Building Society,,,Exeter,Fore Street,19.9,www.skipton.co.uk,79,Devon,EX4 3HR,Exeter District,1392427800.0,291912.0,92526.0,2090138,54729641,02,09,0138,Commercial services,Legal and financial,Banks and building societies
Bick Accountants Ltd,,,,Exeter,Longbrook Street,20.1,www.bickaccountants.co.uk,52,Devon,EX4 6AH,Exeter District,1392211878.0,292333.0,93024.0,2090135,54724984,02,09,0135,Commercial services,Legal and financial,Accountants and auditors
Beckworth,,,,Exeter,Southernhay East,20.0,,30,Devon,EX1 1NS,Exeter District,1392678555.0,292366.0,92543.3,2090147,54755110,02,09,0147,Commercial services,Legal and financial,Financial advice services
Perry Prowse Insurance Consultants Ltd,,,,Exeter,Longbrook Street,15.4,,23,Devon,EX4 6AB,Exeter District,1392425225.0,292296.0,93018.0,2090149,54757990,02,09,0149,Commercial services,Legal and financial,Insurers and support activities
Colin Hardy & Co Ltd,,,,Exeter,Queen Street,16.2,www.colinhardy.co.uk,85,Devon,EX4 3RP,Exeter District,1392436444.0,291988.0,92779.0,2090149,54765691,02,09,0149,Commercial services,Legal and financial,Insurers and support activities
Veitch Penny Solicitors,,,,Exeter,Southernhay West,20.9,www.vplaw.co.uk,Broadwalk House,Devon,EX1 1TS,Exeter District,1392278381.0,292321.0,92694.0,2090154,54779400,02,09,0154,Commercial services,Legal and financial,"Solicitors, advocates and notaries public"
T M A 2 Hair & Beauty,,,,Exeter,New Bridge Street,16.0,www.tma2hair.co.uk,40-41,Devon,EX4 3AH,Exeter District,1392422700.0,291675.8,92296.4,2100156,54794928,02,10,0156,Commercial services,"Personal, consumer and other services",Hair and beauty services
Acorn Recruitment,Acorn Recruitment,,,Exeter,Southernhay West,14.5,www.acornpeople.com,1,Devon,EX1 1JG,Exeter District,1392421100.0,292258.3,92453.6,2050078,54557485,02,05,0078,Commercial services,Employment and career agencies,Employment agencies
W S P UK Ltd,W S P Group,,,Exeter,Barnfield Road,22.6,www.wsp.com,The Forum,Devon,EX1 1QR,Exeter District,1392229700.0,292459.0,92548.0,2060085,54543503,02,06,0085,Commercial services,Engineering services,Civil engineers
The Barbers Shop,,,,Exeter,North Street,6.8,www.exeterbarbershop.co.uk,16,Devon,EX4 3QS,Exeter District,1392255838.0,291834.0,92621.0,2100156,54843270,02,10,0156,Commercial services,"Personal, consumer and other services",Hair and beauty services
Nutters,,,,Exeter,Cowick Street,21.7,www.nuttershairdressers.co.uk,183,Devon,EX4 1AA,Exeter District,1392279941.0,291494.0,92075.0,2100156,54840160,02,10,0156,Commercial services,"Personal, consumer and other services",Hair and beauty services
Wag's Tanning & Beauty,,,,Exeter,Fore Street,30.2,www.wagstanningandbeauty.co.uk,16 McCoys Arcade,Devon,EX4 3AN,Exeter District,1392255050.0,291707.6,92359.2,2100156,54840081,02,10,0156,Commercial services,"Personal, consumer and other services",Hair and beauty services
Jonathan Hawkes,,,,Exeter,Paul Street,13.2,www.jonathanhawkes.co.uk,2 The Harlequin Centre,Devon,EX4 3TT,Exeter District,1392411246.0,291907.0,92791.0,9460656,54855392,09,46,0656,Retail,Clothing and accessories,Clothing
St Martin's Church,,Not Identified (Christian),Religion,Exeter,,22.8,,,Devon,EX1,Exeter District,,292104.0,92656.0,6340459,47068571,06,34,0459,Public infrastructure,Infrastructure and facilities,Places of worship
Driving Test Centre ( Exeter),,Theory,Test Centre Type,Exeter,New North Road,11.1,www.gov.uk/government/organisations/driver-and-vehicle-standards-agency,"North Wing Suite, Beaufort House",Devon,EX4 4EP,Exeter District,3002001122.0,292264.0,92992.0,6330411,31275066,06,33,0411,Public infrastructure,Central and local government,Driving test centres
Exeter Mathematics School,,,,Exeter,Castle Street,13.1,www.exetermathematicsschool.ac.uk/,Rougemont House,Devon,EX4 3PU,Exeter District,1392429020.0,292123.0,92897.0,5310376,123101565,05,31,0376,Education and health,"Primary, secondary and tertiary education",Further education establishments
Office Angels,Office Angels,,,Exeter,Queen Street,14.8,www.office-angels.com,79-82,Devon,EX4 3RW,Exeter District,1392426200.0,291961.3,92809.3,2050078,54582888,02,05,0078,Commercial services,Employment and career agencies,Employment agencies
Perentie Systems,,,,Exeter,Blackall Road,20.7,,28,Devon,EX4 4HE,Exeter District,1392420020.0,292114.0,93225.0,2080117,54694076,02,08,0117,Commercial services,"IT, advertising, marketing and media services",Computer systems services
David Roche Geo Consulting,,,,Exeter,Pavilion Place,15.0,,5 Charlotte Mews,Devon,EX2 4HA,Exeter District,1392217200.0,292399.0,92320.0,2060085,54572352,02,06,0085,Commercial services,Engineering services,Civil engineers
The South West Business Centre,,,,Exeter,Queen Street,16.7,,Queensgate House 48,Devon,EX4 3SR,Exeter District,1392248083.0,291744.0,93037.0,4250762,64302507,04,25,0762,Sport and entertainment,"Venues, stage and screen",Conference and exhibition centres
J L L,J L L,,,Exeter,The Senate,32.6,www.jll.co.uk/united-kingdom/en-gb,Ground Floor,Devon,EX1 1UG,Exeter District,1392423696.0,292464.0,92510.0,2110194,54925690,02,11,0194,Commercial services,Property and development services,Property development services
Devon Strings Workshop,,,,Exeter,Guinea Street,13.2,www.devonstrings.co.uk,3,Devon,EX1 1BS,Exeter District,1392433748.0,291920.0,92422.0,9480690,54940921,09,48,0690,Retail,"Household, office, leisure and garden",Musical instruments
Haarer Goss,,,,Exeter,Barnfield Road,21.5,www.haarergoss.co.uk,17,Devon,EX1 1RR,Exeter District,1392251171.0,292535.0,92590.0,2110195,54951573,02,11,0195,Commercial services,Property and development services,Property information services
Cube Lab Ltd,,,,Exeter,Castle Street,9.7,www.thecubelab.co.uk,14,Devon,EX4 3PT,Exeter District,1392215400.0,292161.0,92877.0,2080117,68692704,02,08,0117,Commercial services,"IT, advertising, marketing and media services",Computer systems services
Aided Design & Draughting Supplies,,,,Exeter,West Street,4.9,www.aided-design.co.uk,14-16,Devon,EX1 1BA,Exeter District,1392445580.0,291731.9,92261.8,2140214,64348579,02,14,0214,Commercial services,Research and design,Design services
Jojo Maman Bebe,Jojo Maman Bebe,,,Exeter,Gandy Street,8.6,www.jojomamanbebe.co.uk,25-26,Devon,EX4 3LS,Exeter District,1392490491.0,292018.0,92795.0,9460797,68723536,09,46,0797,Retail,Clothing and accessories,Baby and nursery equipment and children’s
Jamar Group,,,,Exeter,High Street,26.8,www.jamar.co.uk,Pearl Assurance House 236,Devon,EX4 3NE,Exeter District,1392410984.0,292128.0,92785.0,2150228,55045591,02,15,0228,Commercial services,"Transport, storage and delivery",Removals and shipping agents
Timpson Locksmiths Ltd,Timpson,,,Exeter,Guildhall Shopping Centre,60.3,www.timpsonlocksmiths.co.uk,9b,Devon,EX4 3HP,Exeter District,1392426807.0,291895.2,92684.1,2100170,55053081,02,10,0170,Commercial services,"Personal, consumer and other services","Lock, key and security services"
Bigwave Media,,,,Exeter,Tudor Street,39.3,www.bigwavemedia.co.uk,Exeland House,Devon,EX4 3BR,Exeter District,1392492383.0,291635.8,92268.8,2080127,78539122,02,08,0127,Commercial services,"IT, advertising, marketing and media services",Marketing services
Zara,Zara,,,Exeter,Eastgate,50.5,www.zara.com,9,Devon,EX1 1GB,Exeter District,1392224410.0,292307.0,92812.0,9460656,80831093,09,46,0656,Retail,Clothing and accessories,Clothing
Gemstar,,,,Exeter,Catherine Street,30.2,,1-2,Devon,EX1 1EU,Exeter District,1392273551.0,292088.0,92660.9,9460659,85510783,09,46,0659,Retail,Clothing and accessories,Jewellery and fashion accessories
Meetings UK,,,,Exeter,Southernhay Gardens,16.7,www.meetingsuk.com,The Senate,Devon,EX1 1UG,Exeter District,8702402001.0,292440.0,92446.0,4250762,85511559,04,25,0762,Sport and entertainment,"Venues, stage and screen",Conference and exhibition centres
Coal Grill & Bar,Coal Grill & Bar,Restaurant,Restaurant Type,Exeter,Bedford Street,22.8,,18,Devon,EX1 1GJ,Exeter District,1392420070.0,292194.1,92662.8,1020043,85510668,01,02,0043,"Accommodation, eating and drinking",Eating and drinking,Restaurants
Mind,Mind,,,Exeter,Bonhay Road,35.0,www.mind.org.uk,Renslade House,Devon,EX4 3AY,Exeter District,1392210121.0,291535.0,92226.0,6350816,68742919,06,35,0816,Public infrastructure,Organisations,Charitable organisations
Colab Exeter,,,,Exeter,King William Street,20.0,www.colabexeter.org.uk,Wat Tyler House,Devon,EX4 6PD,Exeter District,1392202055.0,292406.0,93080.0,6350816,68744746,06,35,0816,Public infrastructure,Organisations,Charitable organisations
Headway Devon,Headway,,,Exeter,Commercial Road,15.8,www.headway.org.uk/home.aspx,The X Centre,Devon,EX2 4AD,Exeter District,1392211822.0,291865.8,92157.2,6350816,68764420,06,35,0816,Public infrastructure,Organisations,Charitable organisations
South Street Baptist Church,,Baptist (Christian),Religion,Exeter,Palace Gate,23.0,www.ssbcexeter.co.uk,3,Devon,EX1 1JA,Exeter District,1392279485.0,292061.0,92409.0,6340459,68798447,06,34,0459,Public infrastructure,Infrastructure and facilities,Places of worship
Devon Gardens Trust,,,,Exeter,Barnfield Crescent,19.5,www.devongardenstrust.org.uk,2,Devon,EX1 1QT,Exeter District,1404812112.0,292428.0,92653.0,6350817,68778572,06,35,0817,Public infrastructure,Organisations,Conservation Organisations
Sense Andlaw House,Sense,,,Exeter,Bartholomew Street West,39.0,www.sense.org.uk,Flat 1 Andlaw House,Devon,EX4 3AL,Exeter District,1392490366.0,291551.2,92398.7,6350816,68752174,06,35,0816,Public infrastructure,Organisations,Charitable organisations
Exeter Campaign for Nuclear Disarmament,,,,Exeter,New Bridge Street,9.1,www.exetercnd.org,31,Devon,EX4 3AH,Exeter District,1392431447.0,291649.0,92254.0,6350449,68744668,06,35,0449,Public infrastructure,Organisations,Political parties and related organisations
Big Lottery Fund,Big Lottery Fund,,,Exeter,Southernhay Gardens,16.7,www.biglotteryfund.org.uk,The Senate,Devon,EX1 1UG,Exeter District,1392849700.0,292440.0,92446.0,2090148,68746890,02,09,0148,Commercial services,Legal and financial,Fundraising services
The Exeter Travel Clinic,,,,Exeter,Southernhay West,19.4,www.exetertravelclinic.co.uk,22,Devon,EX1 1PR,Exeter District,1392430590.0,292301.0,92601.0,5280365,75381041,05,28,0365,Education and health,Health practitioners and establishments,Clinics and health centres
A M S Physio,,,,Exeter,West Street,20.5,www.amsphysio.co.uk,15,Devon,EX1 1BB,Exeter District,1392412515.0,291813.5,92242.7,5280365,75440126,05,28,0365,Education and health,Health practitioners and establishments,Clinics and health centres
Libby Clapham,,,,Exeter,Gandy Street,10.7,www.libbyclaphamhypnotherapy.co.uk,24a,Devon,EX4 3LS,Exeter District,1392412767.0,292013.0,92805.0,5280372,75437359,05,28,0372,Education and health,Health practitioners and establishments,Mental health centres and practitioners
Pullen & Symes Opticians,,,,Exeter,Longbrook Street,12.9,,36,Devon,EX4 6AE,Exeter District,1392257529.0,292317.0,92978.0,5280344,75428923,05,28,0344,Education and health,Health practitioners and establishments,Optometrists and opticians
Malcolm Gifford Wealth Management Ltd,,,,Exeter,Southernhay West,15.7,,24,Devon,EX1 1PR,Exeter District,1392491100.0,292308.5,92614.4,2090147,75340707,02,09,0147,Commercial services,Legal and financial,Financial advice services
Stratton Creber Commercial,,,,Exeter,Southernhay West,20.8,www.strattoncrebercommercial.co.uk,20,Devon,EX1 1PR,Exeter District,1392202203.0,292296.0,92588.0,2110195,75350326,02,11,0195,Commercial services,Property and development services,Property information services
T Hemingway,,,,Exeter,Bartholomew Street West,11.6,,27,Devon,EX4 3BN,Exeter District,1392279317.0,291702.0,92489.0,5280330,75360336,05,28,0330,Education and health,Health practitioners and establishments,"Alternative, natural and complementary"
Stagecoach,Stagecoach Group,,,Exeter,,49.0,www.stagecoachbus.com,Belgrave Road,Devon,EX1,Exeter District,1392427711.0,292596.1,92961.8,10570731,75357823,10,57,0731,Transport,"Public transport, stations and infrastructure","Bus and coach stations, depots and"
Workers' Educational Association,WEA,,,Exeter,Castle Street,22.2,www.wea.org.uk,Bradninch Court,Devon,EX4 3PL,Exeter District,1392457300.0,292156.0,92910.0,5320403,75450939,05,32,0403,Education and health,Recreational and vocational education,Training providers and centres
Tic Tocs Day Nursery,,,,Exeter,Haldon Road,6.8,www.tictocsnursery.co.uk,,Devon,EX4 4DZ,Exeter District,1392410902.0,291525.2,92841.4,5320397,75456451,05,32,0397,Education and health,Recreational and vocational education,Nursery schools and pre- and after-school care
Cobell,,,,Exeter,Silverton Road,2597.0,www.cobell.co.uk,Unit 3 Leigham Business Units,Devon,EX2 8HY,Exeter District,1279507050.0,292082.0,92376.0,2150225,91438727,02,15,0225,Commercial services,"Transport, storage and delivery",Import and export services
Exeter Probation,,,,Exeter,Barnfield Road,21.3,,3-5,Devon,EX1 1RD,Exeter District,1392421122.0,292494.0,92587.0,6330425,85626890,06,33,0425,Public infrastructure,Central and local government,Probation offices and police support services
Cavern,,,,Exeter,Queen Street,9.0,exetercavern.com,83-84,Devon,EX4 3RP,Exeter District,1392495370.0,291998.0,92792.0,4250312,91435143,04,25,0312,Sport and entertainment,"Venues, stage and screen",Nightclubs
Vanmanexeter,,,,Exeter,St. Davids Hill,11.1,www.vanmanexeter.co.uk,29 Richmond Court,Devon,EX4 3RA,Exeter District,7747534885.0,291688.1,92928.3,2150228,95747655,02,15,0228,Commercial services,"Transport, storage and delivery",Removals and shipping agents
Allsaints Retail Ltd,Allsaints,,,Exeter,Princesshay,36.8,www.allsaints.com,18,Devon,EX1 1GE,Exeter District,1392454920.0,292218.0,92723.0,9460656,95713347,09,46,0656,Retail,Clothing and accessories,Clothing
Turntable Furniture,,,,Exeter,Okehampton Street,51.4,www.turntable.org.uk,Swan Yard,Devon,EX4 1DS,Exeter District,1392202032.0,291460.0,92047.0,9480719,95730165,09,48,0719,Retail,"Household, office, leisure and garden",Second-hand goods
Eclipse Hair Design,,,,Exeter,Fore Street,14.5,,121,Devon,EX4 3JQ,Exeter District,1392422822.0,291744.3,92333.5,2100156,95736844,02,10,0156,Commercial services,"Personal, consumer and other services",Hair and beauty services
Claremont,,,,Exeter,Denmark Road,63.4,www.accommodationexeter.co.uk,42,Devon,EX1 1SE,Exeter District,1392274699.0,292583.0,92414.0,1010007,95752865,01,01,0007,"Accommodation, eating and drinking",Accommodation,Self catering
